"FSC-A","SSC-A","Comp-APC-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
106390,82922,14.9134,376.953,118.963,0.000456719
108211,55374.1,-0.497395,329.136,169.642,0.00166673
72924.4,62093.1,6.3582,187.226,116.08,0.00406818
49819.6,51720.9,7.85959,240.93,131.983,0.00527391
87659.9,35683.1,7.66493,182.791,27.5075,0.00529328
42017.8,37161,6.39871,210.286,120.927,0.00583492
101050,37529.4,-0.784238,127.891,45.3371,0.00795497
96630.5,40375.1,-3.09599,225.733,62.0333,0.00804813
81891.7,32232.4,5.51568,159.205,73.3876,0.00890659
36518.6,49497.7,82.7436,110.769,112.016,0.00942014
135892,65020.2,-9.64839,345.836,142.627,0.0111354
86218.1,67904.2,5.09759,376.328,209.069,0.0175621
66191.2,56811.1,-7.72468,250.074,118.308,0.0196878
52596.7,48275.3,1.05626,264.085,58.0929,0.021663
100001,46650.9,4.97406,255.173,87.1802,0.030018
46727.5,40860.2,1.54174,197.231,88.4309,0.0316839
87041.1,67927,25.8167,275.525,128.452,0.0321416
72911.2,76710.4,-6.03533,267.9,112.016,0.0323436
86952.2,74510.2,4.43404,282.436,132.702,0.0343071
84221.7,58022.3,0.714779,264.155,116.211,0.0345232
89663.8,65084.5,16.6492,296.869,112.869,0.0353265
99180.1,70602.5,-0.185218,374.244,137.666,0.0357796
86384.9,75499.4,12.6705,372.021,120.273,0.0372388
38987.1,44733.3,6.81575,142.666,112.737,0.0384748
59155.3,63155.5,16.018,313.443,97.705,0.0388274
75979.5,78187.6,23.4309,268.183,136.752,0.0391417
57143.7,36227.2,29.0761,219.188,104.733,0.0402575
79357.1,40471.1,42.5076,205.723,142.888,0.0413597
45378.3,33952.3,17.7189,85.3312,62.434,0.0418283
117866,57248.8,-8.80863,391.657,216.678,0.0428695
43822.3,30580.9,4.30301,107.151,79.077,0.0432959
57339.2,64334.2,0.800805,172.406,69.7808,0.0446411
87400.6,61325.1,-9.09859,301.087,96.5876,0.0450328
65033.2,29249.7,0.788485,153.025,118.504,0.0457711
75697.8,86746.8,-2.84221,280.11,117.456,0.0458124
43631.3,35415,16.574,175.631,122.629,0.0462027
115426,67859,20.5799,398.304,192.786,0.0475453
98422,43367.1,24.6794,287.79,132.31,0.0485829
61667,41784.1,7.13474,144.898,44.4022,0.0487674
40387.4,49113.1,31.0357,254.182,121.255,0.0499301
72607.8,76094.1,22.6714,328.856,179.248,0.0502249
120318,62523.5,13.4611,392.003,131.133,0.0507836
57420,30230.1,0.189616,179.355,65.0388,0.0513484
59071.2,50792.5,4.42333,229.145,65.8403,0.0514828
114205,52037.7,10.4604,263.024,83.2287,0.0522564
48492.1,54424.5,3.4982,286.311,129.041,0.0533357
93877.9,65345,17.4576,192.016,94.4837,0.0539767
98537.4,71512.9,0.140654,296.025,132.506,0.0546078
63865.3,27300.6,-5.74218,156.475,63.2355,0.0554259
53026.5,38780.7,-2.50338,220.754,91.3922,0.055584
61114,52741,3.21272,225.448,59.4286,0.0564235
80670.2,44245.9,-3.85545,184.866,124.2,0.0568521
135467,60208.6,5.42521,384.309,152.015,0.057913
68622.8,40329.3,10.2453,195.66,48.0084,0.058146
58527.7,49087.2,4.80221,242.207,112.344,0.058191
83676,50409.6,0.496329,301.789,204.679,0.058486
131886,57149.5,1.36443,367.85,157.809,0.0589422
68882.4,40202.4,6.13801,183.006,89.2208,0.0596609
55924.2,54592.7,38.3667,146.984,102.961,0.0598773
82602.8,65474.7,1.96439,244.76,95.7329,0.0604072
94843.8,79720.7,22.0654,502.803,393.123,0.0613748
63568.2,36041.9,6.66496,209.074,60.6308,0.061723
47085.1,29499.5,-4.01567,176.634,54.0857,0.0680497
64059.3,69649.5,13.7139,232.981,139.56,0.0747966
94501.1,34732.2,-1.18842,196.231,57.6922,0.0855324
99837.9,40488.4,10.1036,227.865,118.635,0.090523
107376,45421.4,-2.07993,289.832,156.247,0.0921236
55915.9,36503.5,12.062,122.477,95.4042,0.0929924
41766.5,45689.1,-8.13286,137.625,97.2449,0.0950193
60469,79479.1,5.97002,228.86,126.032,0.0958002
85356.5,73808.3,-3.83144,310.427,103.617,0.0959413
63235.4,56856.1,-3.14973,214.062,69.9144,0.0972994
54292.8,65140.7,11.6444,185.51,71.7846,0.0974399
119092,59268,5.24036,212.424,74.6587,0.0974579
102857,54723.4,-6.19882,275.878,94.6152,0.0985898
111127,61853.4,15.3757,380.563,155.075,0.0987594
89613.9,79305.4,19.5686,343.952,135.184,0.100464
85984.9,60441.5,-1.26313,205.795,82.1746,0.100909
92433.2,67434,0.730311,372.855,134.923,0.101007
108320,78815.4,6.52261,360.126,159.176,0.102443
73549.8,88210.5,-7.28824,181.359,80.9885,0.102489
71983.7,73002.1,32.1273,308.602,104.996,0.103429
76036.6,85520.7,19.4439,324.656,136.817,0.103956
55312.3,39311.3,0.435235,101.866,26.2388,0.104591
62680,34639.3,6.68945,151.875,110.508,0.105891
40081.2,57377.9,22.3684,187.012,75.1204,0.106723
119383,54077.9,4.95493,401.071,188.19,0.108158
109804,43769.4,-5.7637,212.281,72.3857,0.108743
69481.6,32997.3,0.38222,186.654,62.1669,0.111728
65429.8,54570.3,23.6646,217.622,122.76,0.11215
69412.1,79112.1,2.33066,212.637,151.168,0.112728
78903.3,77117.1,12.968,335.64,133.224,0.11334
51128,30570.2,-27.4966,167.674,57.8925,0.113545
84701,91606.6,-5.29573,354.762,163.794,0.115142
86235.9,45996.5,4.11397,271.008,101.581,0.11589
129018,60015,10.1026,329.136,122.695,0.117211
51556.2,60059,44.1851,232.484,125.378,0.117378
71268.3,82154.3,-2.61015,236.105,125.836,0.11799
108158,49866.5,10.6601,320.103,87.7727,0.118169
76441.5,39326.6,13.4916,252.199,132.767,0.119035
71389.9,50137.2,15.5872,320.874,71.1167,0.119071
52176.5,55010.3,14.3054,196.374,90.0763,0.120255
75389.2,52807.7,4.71783,191.23,86.9827,0.120971
43131.8,38177,-7.68041,137.769,58.694,0.121245
136108,59109.9,37.5983,384.378,150.125,0.122449
49321.1,59433.4,26.1182,201.942,65.4395,0.123861
66157.6,43180.5,-1.07176,237.808,90.4053,0.124108
78874.7,65052.3,4.29462,367.154,115.556,0.124139
83197.1,60246.9,2.59982,197.374,74.7234,0.124159
93889.1,58204.7,-3.76759,343.812,121.189,0.125163
92256.5,89748.5,6.6688,440.648,231.546,0.126944
122944,61531.8,1.18124,241.001,159.957,0.128492
88963.6,66881.1,17.3798,307.619,100.465,0.129953
75313.9,40581.5,13.1161,269.031,85.995,0.130003
68182.2,69622,45.3841,215.201,112.803,0.132529
132146,58556.2,8.18499,435.216,118.897,0.13289
65039.6,55059.5,6.78116,169.753,75.5822,0.133206
106028,45070,-10.393,291.733,113.721,0.134057
51832.4,25200.2,3.41679,133.084,75.5822,0.134361
120752,66694.6,7.87146,374.522,99.2164,0.135402
48941.3,32074.6,-3.38687,151.588,110.639,0.135717
66598.6,83257.8,17.3639,461.848,169.383,0.136321
88135.7,50024.4,-9.34423,270.796,141.713,0.139258
46145.4,59115.5,-0.29039,160.21,133.813,0.140049
61600,46397.6,-13.9275,228.079,119.552,0.141176
90675.2,44257.5,5.49993,239.441,126.359,0.141474
69338.8,44772.5,-4.51595,244.334,126.294,0.141914
61977.4,52750.5,14.1314,254.465,111.426,0.142829
52276.8,34688,1.54204,174.484,56.5568,0.142932
95573.1,41785.6,16.5101,258.145,99.6764,0.144557
55188.9,54959.6,-4.04057,174.341,67.2428,0.14541
101920,72019.9,-8.83363,336.478,124.92,0.145942
91771.3,66178.2,5.28572,242.207,114.966,0.146118
93230.9,57992.4,-18.3348,304.74,121.32,0.148505
46702.2,37650.1,2.48309,174.699,67.7772,0.149539
60947.5,37573.1,-0.0507443,179.069,87.5093,0.149782
63070.3,73493.1,12.5405,320.524,126.294,0.149827
66213.9,65706.4,9.41033,308.461,104.274,0.150878
101263,43538.9,0.494356,323.046,77.4288,0.15092
57839.6,27642.1,-8.3991,91.7177,76.5055,0.151105
47650.2,55912.9,2.85595,199.873,126.687,0.152659
124378,54841,5.74938,318.422,127.079,0.153203
100177,45798.5,3.48945,232.058,101.844,0.154074
118961,57491.8,48.2416,365.693,127.995,0.154408
74049.5,69069.6,-8.39854,253.544,106.44,0.154947
86399.8,77075.4,-0.53497,277.43,65.0388,0.155111
120282,45597.3,-5.99624,222.817,90.2737,0.156002
111260,73778.1,2.28137,309.514,111.164,0.156098
52429.8,36524.9,22.5914,135.751,38.0581,0.156225
64190.5,83920.7,9.59856,269.101,157.484,0.160783
36581,41570,-0.503587,167.387,78.5496,0.161533
79317.2,37333.5,-14.7829,263.661,65.4395,0.163561
50528.5,50466.1,-5.36556,161.431,94.2206,0.163985
99079.8,53434,18.843,292.155,75.5162,0.164222
100095,37875.8,31.2058,302.281,92.2475,0.165257
52337.9,68645.5,9.07586,249.791,106.112,0.167465
78874.3,46960.4,7.22897,299.048,100.859,0.168006
87856.3,57368.8,7.40289,330.395,194.985,0.169346
52507.2,30627.8,-5.17911,169.682,38.6591,0.170605
115254,54939.3,-0.884371,342.067,83.9534,0.172531
69996,63955.7,43.9337,345.766,144.714,0.172968
63091.6,35036.7,25.2952,162.148,84.9413,0.17652
38977.7,51099.8,-3.24021,233.052,69.3801,0.177067
63562.1,37626.1,12.2345,186.654,78.1541,0.179665
75759.9,29982.4,5.34029,185.796,35.1199,0.179689
81158.1,33825.1,2.51066,177.35,81.5816,0.182998
39548,39333.1,2.39554,298.486,62.5676,0.192931
65564.4,34244.6,-20.0567,189.729,100.136,0.198633
79010.5,63297.3,5.68032,181.359,64.7049,0.199885
126636,60182.4,-4.40938,315.197,121.844,0.207839
68654.9,72273.6,4.04684,239.582,102.764,0.210573
55599.6,25262,-0.847171,110.045,85.0731,0.212733
66778.6,67858.6,16.5998,178.925,92.7737,0.214358
56756,67745.3,-3.29318,199.373,73.4543,0.214916
102068,51174.3,7.64294,243.909,92.9053,0.21527
106034,91085,-15.6109,429.504,159.111,0.216883
85823.9,52973,35.4857,186.011,125.444,0.217261
94467.6,85106.5,24.6999,279.405,150.646,0.217599
39567.3,40435.6,10.2301,163.799,65.1056,0.218648
84251.3,37789.2,-4.91554,271.784,74.5927,0.218924
80663.6,64039.8,29.7619,217.338,159.501,0.219578
53821.4,41108.5,2.98344,141.01,57.1579,0.220231
52439.1,65479.3,16.548,198.873,92.7737,0.220389
91737.9,43091,18.4664,246.674,96.5218,0.220938
135468,77564.5,22.3276,480.312,165.874,0.222229
