"FSC-A","SSC-A","Comp-APC-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
119142,55641.8,2.72261,389.439,180.739,0.00385103
38646.5,38266.3,-2.42017,121.899,58.7607,0.00389964
63049.9,28771.3,0.931441,242.42,99.545,0.00440923
100981,68776.1,4.37829,397.058,172.824,0.00575785
108597,55388.8,-1.32382,372.229,133.682,0.00831215
83142.9,43548.4,11.7605,306.074,146.475,0.0129907
91017.8,34558.2,13.5642,303.616,174.966,0.0210389
38215.7,49212.6,10.6247,168.606,78.5496,0.022383
60933.7,61434.4,26.7937,307.338,196.667,0.0231857
60444.6,76124.7,35.9062,355.668,220.543,0.0251411
92095.6,33180.3,13.1282,237.738,100.99,0.0255144
52910.4,57290.4,42.6901,280.392,140.8,0.0263655
114944,52587.5,-9.89372,345.418,168.993,0.0290672
63931,32715.8,-12.3581,222.604,88.76,0.0300626
68795.2,35903,-9.04966,247.17,81.5816,0.0317483
52081.9,47666.6,64.298,143.17,100.005,0.0396355
101970,39012.7,30.7459,295.462,111.688,0.0442192
55497.5,58986,-10.6117,252.199,70.5823,0.045878
83138.8,35079.9,-1.523,307.759,125.116,0.0459061
41520.3,38141,-11.2272,221.038,50.4794,0.0483753
82008.1,35144.1,-7.90381,269.737,124.593,0.0492191
54422.4,57278.3,9.55325,289.199,141.061,0.0524912
57773,55286.7,23.1486,241.994,86.7851,0.0526906
102426,37023.1,12.8672,282.788,97.1792,0.0530499
51986.6,56279.8,72.44,198.731,113.393,0.0573564
56597.5,40803.3,1660.13,240.576,74.5927,0.0601496
94039.4,51005.3,2.80517,303.897,122.629,0.0629523
53831,52616.8,1.46009,219.331,150.451,0.0661198
112093,50990,-6.77347,405.704,183.785,0.0680688
83919.3,57594.9,44.2258,488.16,201.902,0.0682978
120979,63337.3,11.9446,397.335,168.148,0.0686543
84242.7,66250.1,20.6892,300.384,156.508,0.0687353
89819.1,46064.1,7.69913,241.072,76.6374,0.068793
62935.3,28541.4,3.77391,159.205,64.037,0.073484
71892.3,32279.1,12.0008,253.12,108.081,0.0746572
66182.4,78796.9,38.3334,321.995,169.253,0.0762938
50641.4,23660.6,-3.09304,264.579,125.509,0.0783869
46720.1,37033.9,7.1773,238.944,136.687,0.0784088
72635.6,37804.4,-2.39323,229.429,135.38,0.0793983
51923,49684.8,75.7114,220.185,198.8,0.0822217
83057.4,89147.6,138.246,345.697,217.902,0.0824469
101480,43659.1,-17.9206,254.04,78.22,0.0825867
62904.5,62614.8,10.7965,258.64,133.028,0.084057
89980.2,52337.8,17.4661,400.103,173.473,0.0846707
54142.4,53944.2,2.46262,252.553,117.129,0.0856458
86749.8,65845.2,-6.0574,185.224,76.2417,0.0869744
95128.4,66647.4,7.14593,426.198,202.806,0.0881904
71927.1,55356,259.228,300.595,147.844,0.0884554
74292.1,42041.6,3.79407,299.329,70.4487,0.0920547
52892.3,34813.3,-3.76522,283.916,117.26,0.0928085
74329.5,55521.5,1.45073,399.065,214.873,0.0947188
79734.3,81628.7,39.033,324.376,215.002,0.0980196
