"FSC-A","SSC-A","Comp-APC-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
95876.3,71687.2,14.6347,271.855,148.365,0.0128111
111157,57246.9,2.93567,412.75,152.405,0.0366688
63009.4,68207.9,31.2332,244.689,165.809,0.058825
76504.2,36798,-13.7933,230.139,53.0172,0.109478
115714,76085.6,7.39204,371.326,132.114,0.126566
62783.8,57607.7,46.5977,163.225,103.092,0.231048
118882,50543.8,17.3952,311.128,111.229,0.233606
93836.1,39145.4,3.67661,247.666,51.6147,0.294642
93125.8,59941.3,-7.04319,306.917,92.1159,0.437873
93399.9,33182.8,8.77588,205.866,61.499,0.447441
99242.7,60299.4,7.2451,304.88,91.6554,0.488014
60450.8,74094,10.3547,281.026,159.046,0.493802
103249,44288.4,6.22862,295.884,141.974,0.515115
54690,47604.7,-7.88502,232.91,96.9162,0.519815
91085,75465.6,4.46813,376.189,153.969,0.576577
62519.9,52922.4,26.7921,192.159,105.193,0.580635
96488.7,41996.1,-4.69537,228.647,83.8875,0.591611
90937.7,30917.2,-0.697523,214.703,69.5805,0.631938
86334.4,40209.4,3.33085,226.088,70.2484,0.659638
105062,46791.3,-1.16192,253.19,74.3894,0.70966
133546,56649.1,-2.57261,331.514,100.465,0.722051
53357.2,49646.5,10.778,161.933,42.8662,0.724327
112090,78609,1.85959,327.036,83.8875,0.727895
66102.3,68234.2,5.26037,184.437,100.99,0.837016
64112.4,58632.3,1.90416,222.959,120.273,0.862495
66003.1,33781.8,5.29709,186.44,46.4056,0.874766
90892.3,64004.6,18.8532,303.476,202.16,0.891065
107749,51171.2,5.10364,268.112,109.065,0.972986
92336.2,36495.6,-4.8661,225.662,67.0425,0.981864
103720,51823.4,4.61589,268.254,122.695,1.06527
87496.7,44194.2,9.5509,290.114,81.5157,1.08606
112852,79657.9,9.24186,367.363,145.106,1.12121
47921.3,39022.4,7.64934,156.331,88.4309,1.13238
58202.2,46565.5,30.2747,231.702,84.2168,1.13883
56363.2,71122.8,4.93719,316.248,145.758,1.15199
57953.1,85837.9,18.6474,306.917,174.187,1.17128
61952,60707.5,28.6094,230.068,92.8395,1.20933
122139,61202.2,8.1999,306.566,149.604,1.2517
118420,79051.1,-5.11665,415.649,194.985,1.25401
99379.9,54222.5,-8.80065,250.287,66.1742,1.27201
119219,55704.8,-4.82524,289.48,82.6358,1.27536
79550.6,34173.4,-0.361468,270.019,63.6362,1.28336
118262,71848.1,5.22678,412.198,191.168,1.2953
68127.9,81890.1,59.1864,322.205,186.701,1.31202
90226.5,57708.9,6.41617,273.832,99.6764,1.3381
82538.7,51840.3,-3.64394,255.597,115.425,1.34403
116848,52445.6,4.96034,349.813,124.069,1.36285
79058.8,39557.4,6.08255,221.608,77.5606,1.3838
73284.2,31591.5,5.56672,196.16,61.499,1.39449
69662.2,81304.8,-2.09485,294.688,89.9447,1.39856
85830.6,75556.2,22.8547,380.424,141.257,1.44048
62966.5,76400,11.9123,266.982,134.793,1.46172
54561.8,47291,11.637,191.873,104.208,1.49565
52849.5,38383.9,11.7948,105.414,68.1779,1.49682
98510.2,37269.4,7.94662,214.632,53.6182,1.51573
127186,69958.6,-1.4529,328.576,179.442,1.54683
96567.9,53053,14.2682,289.269,108.868,1.57231
136815,57237.5,0.128168,362.284,157.354,1.58495
98818.9,39708,0.377816,252.482,162.038,1.62567
64752.6,70723.2,16.5385,217.409,105.456,1.62609
74559.7,43150.1,9.03407,242.491,89.4182,1.65589
97449.1,42213.2,31.7165,219.046,64.9052,1.71269
64720.5,67445,32.43,195.874,109.59,1.7231
80938.1,69463.9,4.5723,246.603,141.974,1.74172
102739,39019.2,23.4045,234.472,90.9975,1.74191
109061,59512.5,14.382,360.404,124.004,1.79113
76629.6,55826.1,-0.556479,283.775,106.506,1.80657
95217.5,46027.7,4.15876,256.305,94.1549,1.82756
110790,54698.7,18.2349,351.138,158.135,1.83703
72908,46679.1,9.5465,217.409,133.617,1.83941
49562.7,43026.1,-7.4969,116.77,85.7975,1.84584
126201,72994,3.85703,401.14,189.032,1.84622
82235.5,52067.2,11.321,292.507,128.518,1.90455
71111.1,44249.3,11.6291,232.981,96.8505,1.96467
64991.8,58516.7,3.53466,190.015,110.311,1.97687
120984,59061.5,25.6842,342.625,194.403,2.01176
68527.3,69529.3,22.369,254.536,114.901,2.10089
89279.4,58670.7,19.0986,250.712,107.621,2.11235
131674,55978.7,19.7814,363.049,162.623,2.14133
83604.9,44495.8,-6.73697,243.838,79.8021,2.15246
100084,46174.8,-13.0973,279.405,108.146,2.17991
123140,56143.2,7.18076,348.348,148.365,2.18588
78668.6,35586.8,-6.04838,193.231,101.779,2.19976
115362,54088.6,-0.0966102,320.874,63.1687,2.20391
107966,55660.3,8.55838,300.243,86.1926,2.28371
101119,41266,-4.20666,264.438,91.2607,2.32008
107148,52880,-7.48071,303.124,88.2993,2.32447
103898,51574,0.729262,315.267,115.097,2.32988
38429.7,41355.9,-2.1544,156.259,113.262,2.38815
105451,57888.8,-1.82125,369.588,83.8875,2.41272
70618.2,65553.4,6.763,173.266,92.9053,2.43165
107463,41733.9,3.04403,218.548,84.3486,2.50926
76140.4,41056.8,-7.285,293.07,43.2669,2.51257
70686.5,55594.7,73.5591,257.225,137.079,2.5523
120980,53744.1,-1.73281,320.524,137.274,2.56499
51877.1,51984.9,5.94819,247.666,119.749,2.76605
61494.4,40148.5,1.16247,274.184,157.419,2.77828
69661.5,53002.4,6.20922,192.945,75.7801,2.79124
98859.1,69413.3,13.2456,245.398,127.798,2.79653
58343.5,59902.3,9.58069,179.856,107.096,2.79758
126961,52165.1,-0.768065,262.459,90.9317,2.80656
75587.7,50374.3,2.39639,164.373,86.3901,2.80661
57633.7,63107.4,9.58469,222.532,110.77,2.8196
127675,50024.3,10.305,337.107,91.1949,2.83038
55732.4,67608.8,1.43599,149.143,164.249,2.8511
53653.4,53073.3,29.4095,221.252,106.965,2.86721
73165.5,53111.4,7.40978,195.874,67.0425,2.87225
102164,39707.4,8.48581,234.969,63.9034,2.87761
64825.6,62559.6,-1.433,294.688,76.5055,2.87859
114896,47980.4,1.29465,371.465,151.233,2.8832
137731,66616.8,30.2518,442.16,161.648,2.88945
118097,46413.6,5.85957,253.403,66.8421,2.89651
114007,49687.4,1.3299,288.072,116.67,2.91331
59952.9,35952.5,-2.27264,137.841,99.8735,2.91496
111402,67536.8,-1.59092,293.562,126.359,2.93522
122313,64306.2,11.8022,458.354,155.206,2.93589
63034.8,57284.5,-3.8828,253.049,145.04,2.94089
63847.6,87486.1,-0.478728,315.758,76.6374,2.94284
110434,62831.1,-12.5385,335.919,98.8879,2.94421
124307,59906.3,2.83164,276.301,104.668,2.94646
58431,52672.2,47.3779,190.515,114.77,2.95067
86558,42393.2,5.06641,273.549,123.873,2.9551
87891.7,60683.3,5.54092,245.256,119.225,2.95945
76198.7,54966.6,6.07728,263.378,85.9292,2.96848
90801.2,28735.8,-6.62731,179.283,45.1368,2.99197
80644.2,39007.4,-11.1896,176.92,81.318,3.00141
41788.2,46739.6,15.9978,142.81,71.3838,3.00285
88729.6,30709.4,7.0391,193.302,75.6481,3.00724
93651.8,48055.6,8.09681,263.449,85.8633,3.0381
67202,64544.6,40.0936,228.292,137.405,3.04119
77292.8,46620.2,-2.99284,240.292,80.3294,3.05289
124070,55730.2,2.95272,288.354,155.075,3.06063
79058.5,62797.5,-8.14052,333.123,101.581,3.06691
103255,78343.6,15.1582,341.997,100.136,3.07365
80686.7,47313.2,-1.00293,147.416,65.9071,3.0872
66512.9,47168.1,-2.47998,238.873,67.1093,3.0894
93633.2,40980.6,15.0622,261.186,83.624,3.09004
73330.3,91411.9,6.02598,262.671,181.452,3.10911
91552,34649.7,3.90588,182.791,53.8854,3.11053
92767.2,36147,-7.60451,225.306,82.8335,3.12375
90218.3,46715,-3.84387,214.703,37.1232,3.1238
92601.6,43242,20.2715,275.313,124.92,3.13637
59016.9,42027.6,0.211512,191.373,71.317,3.13728
55956.7,31198.8,0.536763,132.147,50.279,3.13809
79185.4,66378.2,10.5998,232.91,96.3904,3.14822
43012.6,31247.6,26.7043,126.881,52.2158,3.15671
85158.7,36064.1,9.14288,212.637,57.1579,3.16209
74850.4,41146.5,9.61805,213.278,96.2589,3.16267
107840,53869.5,2.67144,266.558,93.1026,3.16352
66481.6,43804.2,7.63657,212.495,97.3763,3.16409
99593.6,31595.7,-5.12926,227.439,76.0439,3.17344
96128.8,38612.7,11.1679,229.002,64.6381,3.17417
60567.2,55118.4,22.3532,239.795,179.831,3.18586
123495,48329.4,-8.6683,324.866,115.949,3.18602
72019.8,80362.1,8.54176,255.668,139.233,3.1913
90992,57932.2,-4.38052,329.206,74.6566,3.19338
38014.9,51971.3,34.923,187.942,65.1724,3.1942
60201.8,49844,16.7702,205.866,119.487,3.21481
115588,68740.2,-1.89688,330.185,119.683,3.21823
81060,51905.1,38.5742,183.292,110.901,3.22052
43276,33296.3,14.8098,101.214,39.3269,3.22191
133865,81835.1,-5.28794,387.776,121.975,3.23051
120858,62077.2,-17.9842,324.796,165.549,3.23835
114391,48803.9,18.3508,307.198,137.274,3.25346
79413,37074.3,3.67632,201.015,99.4136,3.25802
59529.8,49689,19.5094,117.204,87.9702,3.26285
56829.6,53120.2,5.75717,154.894,106.571,3.26946
52599.4,46026.7,-2.04936,145.689,33.9846,3.2818
105522,58658.1,12.9541,245.469,78.5496,3.2822
65521.4,71416.2,19.7962,220.967,125.64,3.28889
105879,39678.2,5.53793,283.282,111.492,3.3012
83099,76946.3,3.26363,320.244,103.289,3.30566
76014.9,52400.4,11.7003,192.874,127.21,3.3122
84252.8,35001.4,2.40705,194.588,109.458,3.31635
130730,66381.3,17.3033,407.846,162.103,3.31817
79307,55216,26.1063,323.886,153.969,3.32972
118718,57714.6,26.0074,290.677,113.786,3.33305
124230,51527.9,39.3438,285.396,83.5581,3.33336
72850,79642.6,51.1642,269.807,146.149,3.33396
62946.4,44532.8,-0.584566,130.993,88.76,3.3352
123714,62909.4,9.74503,333.333,138.254,3.3485
87551.4,51184.6,-6.11247,283.564,136.687,3.36092
126276,81622.5,-6.14336,353.02,135.315,3.38007
122328,51843.3,13.2354,329.486,128.583,3.38296
67891.9,46541.5,-6.03697,231.631,67.176,3.39272
71313.3,52631,22.8848,276.442,59.295,3.39434
54026.7,38993.5,-2.99962,213.991,54.62,3.39656
58709,31558.9,6.69295,143.098,66.4414,3.39862
92513.1,48923.5,-4.70827,221.963,47.4073,3.4004
121590,59682.1,7.98288,320.314,122.499,3.40075
49786.5,42023.5,3.23876,124.499,57.425,3.40356
112001,58213.5,-7.36112,311.479,94.0891,3.40718
53331.5,39949.6,15.3903,140.722,86.2584,3.40823
51435.1,53324.1,-12.0265,296.939,104.471,3.4091
89513.6,39383,1.01386,262.742,109.13,3.41633
48460.7,51427.5,-4.76876,212.495,112.016,3.42157
53629,46366.2,58.7266,179.785,135.576,3.43424
95842.7,42449.2,-1.21063,303.686,74.3894,3.43827
46893.2,41018.2,-1.20773,188.514,89.1549,3.43831
104998,45651.1,-6.36206,260.832,95.9302,3.4422
84240.5,39818.9,20.3369,231.134,123.873,3.44303
90338.9,52026.5,-5.58946,223.315,92.7079,3.4536
94841.9,69067,3.17564,446.968,137.927,3.45627
97126.5,43154.3,6.18957,230.21,61.3654,3.46292
68737.2,61535.1,46.6219,212.709,97.2449,3.4712
78846.2,73373.6,1.60185,244.972,127.602,3.47858
73817.9,37757.6,19.4754,157.624,74.6587,3.47882
67599.6,88731.2,23.2634,284.832,161.583,3.48418
57116.4,42104.5,10.2754,313.023,137.274,3.49155
78089.1,72739.6,35.0926,258.215,147.714,3.496
101782,51471.3,-1.00807,286.664,153.187,3.49699
134879,75481.9,21.727,370.909,124.462,3.50192
81842.1,38408.9,-1.40286,210.001,40.4621,3.50548
59170.1,63313.4,-10.6179,354.205,138.515,3.51032
