"FSC-A","SSC-A","Comp-APC-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
48698.6,36639.2,-2.95925,116.987,73.7883,0.00249991
53714.3,52221.8,-2.07142,181.073,76.9012,0.00469308
40945,33110,16090.4,1474.67,71.4506,0.00729158
55935.8,27837.7,1579.87,157.553,99.2164,0.00775551
44966.1,32732.3,29.6544,196.731,112.016,0.0084002
85037,49381.8,127.64,304.178,127.995,0.00916506
51589.6,47937.3,35.6095,215.558,60.1633,0.0105654
99518,51271.9,37.8542,284.268,114.507,0.0117933
56807.7,66660.2,10.0634,281.59,153.578,0.0196507
79640.1,61760.5,28.4978,229.571,81.5157,0.0212588
46498.4,31719.2,44.053,134.742,83.7557,0.0221486
52282.7,50558.7,11.2108,205.153,57.3582,0.0222466
61291.6,67567.8,1938.47,270.796,183.915,0.0291558
128162,76791.1,62.5005,388.885,143.997,0.0296954
72242.1,51347.3,43587.9,308.11,120.862,0.0316339
61226.2,61454.2,16553.3,327.526,127.21,0.0336427
58703.1,50764.2,215.586,273.337,191.168,0.0339162
64031.8,58778.8,78.8392,195.446,157.94,0.0344585
125092,52545.4,90.1709,384.795,134.923,0.0374374
47149.1,65776.9,6911.4,213.136,187.219,0.0396465
113473,63918.9,39.7747,384.032,122.106,0.0401676
67993.6,38434.2,-2.44354,255.456,90.5369,0.0432117
71320.3,70345.8,34.8218,234.969,108.802,0.0446067
66230,33032.7,-11.7078,184.937,91.1949,0.0454884
83670.9,34865.9,10336.4,288.283,111.951,0.0459595
63921.1,32174.1,12403,200.515,86.9168,0.0466056
49739.7,50292.7,0.625923,260.196,142.953,0.0476711
70014.5,38972.6,0.939648,322.415,102.895,0.0490306
72741.6,33858.1,1106,748.962,116.08,0.0516879
42228.6,43622,104.498,255.88,89.9447,0.0531155
101629,50052.1,48.4113,364.024,130.872,0.0538505
61002.4,30162.1,2.66988,161.502,77.2969,0.0543529
119309,40884.1,17.9829,299.751,93.8918,0.0546045
55913.9,52948.7,27.6194,211.141,129.172,0.0553478
105213,47216.6,5125.39,315.758,191.168,0.0560912
69951.6,77500.1,9789.9,602.839,161.843,0.0571485
68560.1,47947.5,11.081,255.739,182.813,0.0590283
97749.1,55939.8,1.70867,249.437,131.329,0.0606157
55866.3,63016.5,47.4229,233.123,159.111,0.0626142
39168.4,52705.5,29.4643,181.145,82.8335,0.0630846
63276,90469.6,482.021,228.221,109.458,0.0672955
70653.6,30977.1,9.3627,160.497,80.0658,0.0681644
100148,38850.9,16.8951,219.829,101.91,0.0682599
77342.8,44485.1,8.02237,206.294,91.5896,0.0696923
45785.5,65527.7,35.1309,238.234,124.855,0.0716172
125724,66327.1,126.812,333.892,133.617,0.0718445
61057.5,72562.9,96.2194,325.496,157.614,0.0725042
79898.2,39461.4,5.69505,228.931,75.5162,0.0726665
113359,73150.4,174.11,496.746,181.647,0.0776781
72375.4,59761.9,20.2853,341.229,183.591,0.0796177
99555.5,68215.3,18.4369,404.252,198.348,0.0806822
81097.2,40285.1,21838.6,230.424,125.705,0.0863853
61013.4,53993.5,357.448,456.778,185.081,0.089163
61254.7,75308.9,24.4282,298.697,143.671,0.0929978
92956.1,56220.4,1459.61,390.479,161.843,0.0942163
66944.3,31917.4,-1.7855,247.595,99.8735,0.0952053
70594.5,46170.1,12.4004,260.762,81.318,0.099354
48488.6,46996.3,106.836,205.581,135.903,0.104427
58197.2,65100.4,16.5071,249.791,119.814,0.105253
46536.6,57481.1,320.352,249.154,159.762,0.106576
101408,37048.3,20.1229,315.617,148.3,0.109334
72985.7,74567.2,358.287,350.301,208.811,0.109925
101522,66613.2,49.2339,216.768,107.424,0.1111
46800.4,52546.6,13.6372,172.836,93.6945,0.112046
41063.5,58104.2,305.595,211.711,153.448,0.112231
48777.3,56278.9,-6.32529,190.444,100.596,0.112458
69824.9,30742.7,19.5711,259.347,166.849,0.112746
76704.8,51712.5,-24.382,235.608,91.8528,0.113741
49395.4,39474.9,26.0352,157.409,67.8439,0.117816
94656.9,52710.1,6.09199,279.193,72.8532,0.11884
90461.2,71681.5,-1.45101,363.885,151.428,0.121626
80502.1,65910.6,-22.2399,290.184,140.669,0.122428
98994.7,47345.9,96.7808,245.327,98.8222,0.122908
98935.3,53058.7,-0.964555,232.839,106.046,0.123382
91057.4,42746.7,20867.9,306.145,147.388,0.123808
46661.4,51115.2,22.8441,223.813,118.177,0.124498
50611.5,61181.3,37.9591,290.396,86.5218,0.125513
112711,63100.9,156.555,393.25,206.1,0.125604
61400.6,65149.3,240.773,249.862,133.943,0.129584
76907.2,47779.6,-6.84798,336.898,155.792,0.129847
92788,50001.3,0.557311,266.417,72.5861,0.129928
107770,66663.1,3577.08,309.444,141.648,0.130637
56587.7,46442.3,4.13361,202.656,139.886,0.131189
83498.9,74940.6,376.291,269.596,123.415,0.131491
98657.1,51974.9,9.58382,299.54,82.9652,0.132976
47136,47468,5.087,233.478,118.308,0.133293
66492.6,40682.3,215.778,279.052,73.7883,0.134395
51910.7,71520.3,60765.3,240.788,226.722,0.135151
51229.5,30159.8,56.1962,174.269,81.7134,0.137757
62949.8,29096,202.711,260.974,69.8476,0.138392
74245.3,71476.7,31.432,444.633,202.29,0.138413
98182.9,65652.6,11.2323,286.382,103.486,0.138671
49192.2,45200.4,99.133,284.762,210.359,0.138851
56452.6,36437.9,60.5784,237.17,134.662,0.140678
86921.1,53856,78.4941,307.689,160.998,0.141215
47299,59939.6,9174.51,190.587,130.349,0.141543
61947,53178,47.7987,186.011,170.032,0.142439
66967,36089.6,3.41148,681.883,83.9534,0.143121
61404.8,47152.4,51.6701,171.044,166.979,0.143221
116040,65864.3,17643.2,363.745,173.603,0.143617
50654.7,47606.6,23.9384,308.883,137.536,0.143947
95177.4,68647.7,9.02799,402.109,137.666,0.144188
45601.6,48057.6,7.20933,255.526,102.37,0.144805
40986.3,36510.8,-19.527,108.815,44.4022,0.144876
55999.4,42224,765.703,234.117,73.6547,0.146046
94048.5,56471.7,2169.05,665.17,126.359,0.146498
63358.2,76819.5,9.48113,296.025,142.627,0.147255
92469.6,42660.8,94.6421,244.972,118.963,0.14826
88836.7,39709.6,130.581,221.323,56.7571,0.150095
72124.3,51843.3,-2.96401,348.278,145.562,0.151123
83752,49836.3,-1.26101,313.023,148.757,0.152589
86418.8,40918.9,5.05516,391.587,132.702,0.152716
66078.2,82287.2,35.2414,344.58,156.182,0.154633
52959.9,52191.4,-20.8772,271.643,73.3208,0.15477
110142,57273.9,7.66396,291.099,119.159,0.157051
49655.1,39528.8,-3.09348,186.94,58.0929,0.157914
138751,68296.9,2.07875,364.511,182.489,0.158375
116779,68541.3,25.5667,509.127,271.138,0.158905
71377.9,64510.2,11.8756,300.876,101.779,0.161884
73004.4,62687.6,73044.3,611.995,150.907,0.162051
69534.1,52785.1,-18.176,271.996,116.604,0.162401
57599.9,69925.6,92.1208,286.804,129.433,0.163035
69195.6,44380.2,5.27224,241.498,84.151,0.163282
57299.1,79668.1,-8.54663,400.448,215.26,0.165376
64984.7,64957.1,621.366,271.643,170.941,0.166911
62833.8,38911.7,72.0395,341.159,124.593,0.167159
65988.9,37380.9,1.6162,252.199,130.479,0.167735
63685.7,38230.4,2.72749,241.569,84.8096,0.168272
89210.2,57722.8,-7.11793,305.091,131.591,0.169276
56833.6,36507.8,-5.08115,256.871,143.54,0.16974
57913.7,47801.6,-3.92856,289.621,114.835,0.171553
60114.8,52913,-3.91354,257.154,94.9439,0.172896
75074.5,38243.4,39.9884,266.275,145.497,0.173369
100985,48132.8,146.361,292.437,169.188,0.175471
94939.4,44871.2,-8.56037,302.492,133.878,0.175781
44341.2,47426.9,4.71078,222.817,63.6362,0.176116
59981.5,88836,31169.8,391.241,170.811,0.176878
