"FSC-A","SSC-A","Comp-APC-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
95355.5,53271.9,112.208,317.51,127.275,0.00229261
44729.5,56638.8,816.557,220.185,96.3904,0.00244518
123244,49702.5,-5.46431,365.833,191.751,0.00546623
80660.5,40605.9,9.38713,318.772,181.712,0.00710308
63759.7,40663.4,0.796334,161.718,30.312,0.00798295
65160.6,50013.2,-6.65172,294.055,88.2335,0.00953821
105575,40599.5,19.6366,264.155,98.0993,0.013582
122831,59403.6,8.50098,438.448,202.096,0.0144196
83769.2,69438.3,16.977,302.07,127.471,0.0171222
136093,71690.5,225.217,388.816,141.452,0.0176584
114191,69868,39.8994,350.092,188.19,0.0206251
45042.6,53747.7,60.5557,214.845,93.1684,0.020978
68572.4,44908.7,11.4805,227.51,60.4972,0.0214288
99763.2,51593.2,9.67886,311.058,99.545,0.0221641
106942,83249,65.1273,362.145,173.668,0.0246104
80025.6,33598.1,4.04327,248.587,95.0755,0.025067
71870.1,56643.2,16.7191,302.492,155.271,0.025336
62533.4,57800.1,10.8945,262.176,117.522,0.0267603
76831.7,89052.3,840.474,401.694,216.485,0.027491
104912,54411.4,-5.14461,370.7,238.355,0.03147
46806.3,47035.8,11.3942,214.845,87.0485,0.0320262
112352,47296.3,28.9281,323.536,167.888,0.0396034
100862,69162.2,61.4266,382.575,100.859,0.0456549
66529,35409.6,38085.8,193.302,89.3524,0.0465792
104358,87012.6,65.4166,401.97,194.597,0.0483867
75620.3,54911.8,5600.35,292.929,176.329,0.0501374
86188,76167.1,33505.5,519.447,163.989,0.0504322
66411.2,34789.1,22.7854,236.815,94.8124,0.0506566
119231,53093,23.1221,411.645,128.649,0.0519543
96295.7,77696.6,10.0331,296.376,191.751,0.052791
55746.7,31419,8.16115,183.793,57.0243,0.0536827
46349.2,37638.2,49.5443,138.777,63.6362,0.0550434
80929.2,47057,27.9184,275.455,94.2206,0.0670406
111042,59132.6,11.2723,321.575,84.4803,0.0677363
50632.4,45170.8,8.16376,128.324,56.8239,0.0699871
100883,38080.5,17.0055,214.988,77.4947,0.0706047
122569,67450.4,380.685,330.885,96.5876,0.0723859
97092.7,38723.4,54.5317,195.374,74.3226,0.0725686
102679,45320.5,19636.6,311.269,98.2307,0.0742647
110625,39707.9,5.15003,250.004,61.6994,0.074288
53954.6,35203.6,72.2454,152.594,61.6994,0.075093
55147.3,55500.3,12.0685,278.981,142.692,0.0753612
90249.7,69853.3,21.6014,257.154,106.243,0.075978
98165.1,62722.8,9.82142,357.758,144.323,0.0774115
93217.6,38954.8,-0.553459,275.948,142.105,0.0787201
87882.8,32914.1,-2.24001,250.712,108.605,0.0790538
75183.7,44873.9,43.1752,325.356,103.486,0.0795463
70563.8,78349.4,52.1446,313.934,186.247,0.0828188
65532.8,84374.9,8.08968,292.437,126.229,0.0829599
85500.9,86695,17.5754,432.877,248.684,0.0837981
80727.1,44247.2,7.11376,211.996,89.8131,0.0850502
43355,38166,29.1234,177.851,97.1134,0.0862183
92634.9,52651.7,-1.243,320.944,183.202,0.0874577
68409.2,53577.2,2.14728,338.016,145.366,0.0883773
98578.7,89905.1,10269.8,746.745,137.274,0.0891848
96120.4,39105.6,64.8889,244.831,54.5532,0.0901526
120208,65316.7,51.8322,311.62,130.61,0.0913891
64778.7,49876.7,88.5926,244.263,150.842,0.0919758
74162.6,40113.4,18.0421,192.016,45.5374,0.0920705
36896.1,51954.4,16.5575,142.234,64.1705,0.092088
112031,40629.8,31.7196,305.723,132.375,0.0929802
56054.7,62602.7,21.8262,193.374,96.9162,0.0930195
98967.7,45072.6,29.4145,294.196,126.49,0.0931416
63427.4,47864.4,4.55578,196.945,119.356,0.0934585
84818.7,89631.4,104.614,470.404,154.945,0.0944708
80911.9,36775.6,70.3853,351.138,173.409,0.0961753
111825,51479.4,12.6201,314.145,132.114,0.0968036
84652.8,69505.5,2192.6,400.864,170.032,0.096907
54164.5,29603.5,50.1896,248.799,109.59,0.0975136
