"FSC-A","SSC-A","Comp-APC-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
51837.9,38057.1,9.81365,193.017,101.122,0.00154196
69611.1,60157.1,14.3958,329.416,59.2283,0.00294179
99031.5,83111.2,4.47898,485.022,276.562,0.00545742
62873.3,49109.8,45.89,247.524,113.721,0.00924455
45483.2,37693.6,114.866,163.799,62.768,0.0106992
62387.8,76361,433.975,284.762,113.655,0.0107193
98178,63453.7,-1.39049,370.283,174.642,0.012391
76726.9,59884.9,33.1705,330.605,203.969,0.0153743
63846.5,28021.6,2.67255,269.242,148.757,0.0155567
74040.4,64927.7,22.5517,297.572,132.702,0.0166036
107899,50858.3,25.2394,276.654,49.4108,0.0188056
80034.1,43849.8,12.8705,343.952,148.691,0.0197732
44101.3,45829.1,107.862,230.921,134.793,0.0203149
118223,68424.6,-2.62025,395.396,209.52,0.0206051
58985.4,68560.1,-4.54735,228.434,113.721,0.0242505
103191,51000.1,-0.316571,336.269,127.864,0.025106
85176.3,54662.3,198.676,352.741,155.206,0.0254422
102485,58123.4,11.1356,428.54,162.688,0.0259781
105887,49194.1,4.26669,332.633,101.779,0.0270732
58164.8,67538.7,-1.22726,242.42,114.311,0.0292347
49856.1,61415.9,27.8506,183.793,103.42,0.0307521
41416.3,45378.8,15.9854,197.231,116.146,0.0310678
64058.6,37537.2,16.1634,261.822,94.4837,0.0318814
124868,83684.4,22.2265,374.036,193.562,0.0338429
76879.5,28354.7,-6.33447,254.394,67.5768,0.0345987
50780,58934.2,64.8891,259.064,137.013,0.0368878
63479.2,34962.7,-9.59411,185.796,127.21,0.0369797
87098.1,52621.9,32.9378,368.615,122.302,0.0389979
56350.1,34863.4,-6.34554,248.091,79.6703,0.0401932
109316,50304.7,6.14548,317.09,136.425,0.041208
116224,50074.9,7.39343,390.063,235.53,0.0422838
65431,39750.9,-0.268039,167.889,88.2993,0.0430722
124955,72389,243.651,530.291,324.333,0.0439827
125064,59952.8,-11.1844,444.358,178.34,0.0443118
45536.7,67131.1,7.85426,251.491,92.5764,0.0451368
77260.8,67735.3,-6.86602,229.287,112.213,0.0473382
74394.7,61822.8,8.45086,342.905,166.134,0.0480184
78875.5,52568.7,12.8882,199.087,111.492,0.0502289
88263.9,90578.7,13.9968,408.882,265.133,0.0504342
112995,51610.9,18.2572,416.408,200.222,0.0505826
99494.4,56231.2,27.7593,373.758,166.199,0.0535016
111266,69143.1,39.9608,392.142,183.461,0.0548044
85834.9,73268,93.4119,402.178,318.954,0.0551229
101318,60147.8,-18.0309,363.467,206.616,0.0554687
89915.6,62178.2,-31.1452,301.649,113.721,0.0555744
49970.6,36303.5,6.02943,139.137,81.6475,0.0597187
50549.9,44154.9,9.18109,185.581,54.2193,0.0615051
83515.5,39173.6,5.38583,230.992,115.228,0.0621305
76881.5,36675.9,-0.302514,221.679,102.895,0.062183
95982.8,59817.7,-4.08939,359.638,82.2405,0.0624644
53225.2,84068.8,3.37539,429.642,158.395,0.06443
64727.4,52434.2,9.73583,378.411,150.907,0.0664256
83370.6,33979.3,20.1705,225.662,96.8505,0.0695765
90737.2,79689.9,30.847,410.816,231.353,0.070286
51450.8,36169.2,8.68993,238.66,103.946,0.0721591
45090.5,39214.3,8.79932,158.774,59.6958,0.0744089
74127.3,64621.4,180.148,3541.32,276.817,0.0753002
62253.8,55101.5,6.97056,192.302,37.1232,0.083228
71556.2,35894.8,25.9456,318.141,142.431,0.0841708
74796.5,38898.3,-4.04463,262.459,149.995,0.0880459
80159.4,31980.1,2.33483,206.436,83.1629,0.0964102
93119.3,42638.4,3.16934,245.043,86.6535,0.102283
45207.2,56235.2,53.693,248.87,126.883,0.103571
46969.8,53946.1,14.9306,168.534,77.8244,0.104833
95439.7,38040.7,11.4897,271.008,135.446,0.105578
125240,57982.5,3.58768,408.122,161.973,0.1057
74118.4,65258.1,17.5755,300.384,173.019,0.108065
68098.6,36379,161.95,294.125,99.0193,0.108793
53807.4,81306.3,2.79276,255.668,115.622,0.110892
51406.7,49589.3,18.9553,203.441,62.9016,0.113839
46306,38467.2,10.3937,181.216,120.207,0.116325
80146.6,61495.1,23.6254,287.086,169.577,0.117526
71986.9,39580.3,-7.18248,245.327,136.556,0.117673
70844.1,62059.2,12.5004,350.58,133.355,0.120762
107284,55574.8,10.4979,339.064,108.212,0.122236
55543.6,50008.4,64.3603,225.306,169.837,0.12437
60888.5,28077,4.95312,241.923,84.8096,0.124869
83102.5,41129.2,14.1709,296.869,104.405,0.125695
62919.8,84399.1,13.2576,315.828,154.75,0.125751
95036.3,59450.6,-2.93938,406.81,184.887,0.1258
63074.2,30166.8,18.7369,242.845,99.6107,0.126943
57739.1,51538.3,219.553,203.227,102.632,0.129071
73223.1,82414.6,6.10717,366.806,195.115,0.1314
64393.6,36477,-5.62844,214.276,54.4864,0.131468
98786.2,47424.6,-1.23033,16674.7,126.49,0.133226
61996.7,46955.2,-2.52676,296.798,119.421,0.133977
89332.9,42153.2,9.62729,287.65,171.201,0.134363
82917,35298.1,13.2499,263.449,171.266,0.13439
53293.1,39806,3.22557,204.154,114.18,0.136295
45384.2,56930.5,34.4498,211.854,113.524,0.136451
41052.4,37960.3,19.7978,207.934,129.499,0.137615
46062.3,42448,24.6466,148.207,95.0097,0.137764
96007.4,79721.4,19.7211,628.465,302.657,0.141084
67533,27217.1,3.28491,160.713,41.9313,0.145562
84601.3,75787.3,536.263,360.404,194.08,0.147959
67506.2,53123.4,28.9395,267.759,190.909,0.148077
68959.5,74960.5,84.4537,439.823,191.686,0.148875
132716,65459,-21.981,516.529,199.447,0.150344
59209.1,31565.2,-4.03902,222.106,108.343,0.150773
80588.3,80474,105.982,372.993,182.165,0.151352
57982.1,30528.5,9.38401,280.885,86.3901,0.152465
53226.3,56663.4,6.31801,186.368,107.228,0.152934
42765,55148.4,-4.88847,224.666,109.983,0.155658
59536.6,38265.6,2.41467,194.588,128.779,0.159219
93555.4,49438.8,13.3675,312.672,114.442,0.15978
52923.5,41984.7,23.5872,150.078,88.8917,0.160594
101419,58328,57.117,453.281,149.278,0.160701
106032,76485.6,19.9153,485.704,160.282,0.162384
56316.7,43742.9,13.8335,357.201,142.301,0.169811
135343,59448.5,22.9077,483.589,248.684,0.172197
52725.5,52756.8,4.57779,166.024,105.718,0.175683
110454,78446.2,18.5863,498.993,282.428,0.176493
78716.2,80292.9,26.8147,293.633,135.315,0.18048
56153.4,27713.3,2.44313,183.936,78.8133,0.182348
91734.5,47278.5,60.7315,300.032,107.162,0.184282
82551.5,38735.6,-3.75885,275.948,98.0336,0.18709
114169,82930.9,37.7726,2170.08,248.235,0.190133
44135.2,39536,2.65119,136.688,58.8275,0.19033
43394.4,60486.9,20.5209,225.804,109.721,0.193268
95983.4,53422.5,0.335902,220.113,109.524,0.194666
88787,42893.3,20.2012,266.134,86.5218,0.195416
39467.3,44946.1,32.6763,178.854,50.8133,0.19838
64090.2,82759.7,13.7496,357.897,264.238,0.198532
38887.2,49835.6,11.7468,192.231,143.54,0.198621
66155.3,75368.7,24.0507,347.999,152.796,0.205314
73396.9,52167.3,3.9257,272.208,167.823,0.206165
70802.8,92072.1,2931.6,351.207,210.811,0.206227
65394.2,72075.2,10.4001,253.261,179.442,0.206712
115608,45501.9,-10.5816,382.714,218.16,0.207154
73543.3,42680,5.13693,354.832,225.95,0.207738
61487.1,55100.1,19.0883,1471.49,136.295,0.209725
41905.8,43466.7,12.3338,224.666,102.37,0.211037
