"FSC-A","SSC-A","Comp-APC-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
106682,48277.4,18.193,337.457,109.59,0.0672616
72827.2,35330.8,-1.28889,241.498,127.014,0.0703866
99525.9,42946.3,-16.4036,428.471,115.163,0.0721299
46521.9,31230.9,8.78543,154.966,60.7644,0.0723042
133423,61680.5,0.43738,444.496,165.419,0.0728176
84489.9,53389.1,4.72518,286.17,98.3622,0.0761938
58652.3,62270.4,29.8366,289.621,157.744,0.0783162
93347.5,45702.9,17.5492,361.031,159.111,0.0785574
59312.4,42640.7,-3.0637,184.866,78.2859,0.0827083
72382.5,51792.8,4.03034,262.53,108.015,0.084197
107482,54247.7,31.4222,352.114,115.425,0.0865055
89020.5,46918.7,19.4508,334.381,108.409,0.0869075
65318.9,34204.3,-29.077,207.862,112.016,0.0877353
57128.7,38192.3,56.4184,266.982,100.465,0.0883337
96418.1,31399.1,2.67984,210.001,56.6236,0.09262
66045.6,59337.4,-31.4576,250.358,175.226,0.0929531
41745.6,41048.2,10.1331,164.732,80.5272,0.0934162
94042.3,42241.7,-2.53143,307.689,127.275,0.0992506
106323,50344.5,0.297052,389.647,192.139,0.101753
54377.2,41853.9,9.34125,274.608,57.8257,0.103024
82166.8,55802.3,-5.83883,194.446,59.4286,0.105064
55941.9,44183.8,2.5683,231.702,108.999,0.107898
126628,56802.1,-5.04997,337.387,81.1862,0.108322
84382.4,50561.7,-5.75497,338.575,79.2089,0.108577
81914.3,46763.6,595.449,302,111.033,0.109394
53148.8,35897.2,1.54349,245.61,96.2589,0.110572
66426.7,35624.5,-2.01154,1016.65,49.8115,0.110954
90313.5,37216,2.93633,214.062,100.596,0.111187
68435.4,48391.3,35.3268,275.455,133.682,0.112638
52186.8,73182.8,0.755746,335.779,136.948,0.113591
66517.9,30237.9,7.57648,228.15,54.2193,0.114818
44287.2,39406.5,17.817,232.058,54.8871,0.116988
133192,75814.9,-3.64098,31481.7,197.637,0.121443
75458.9,82210.8,17.2737,430.055,164.379,0.12329
40088.3,37196.9,36.2117,154.966,61.6326,0.125301
80808.4,65410.9,5.19362,375.564,153.903,0.127644
47407.3,39759.3,0.00665194,252.695,99.0193,0.129836
106779,40918,6.30004,292.718,128.518,0.130319
107943,42700.3,42.8764,383.824,118.504,0.131746
45189.7,30581.5,12.6528,137.697,85.7975,0.132078
59852.7,56751.9,125.789,225.875,92.1159,0.134144
68746.3,57779.6,-15.0755,375.147,140.408,0.134536
75443.4,32967.5,7.31396,196.945,90.3395,0.137175
46315.2,43567.2,7.71499,175.631,103.289,0.142852
87709.7,53404.8,35.4938,496.473,192.527,0.143883
101150,45372.2,-20.3526,289.34,134.139,0.145551
70959.2,52080.7,21.3244,302.422,111.623,0.146782
90342.7,52552.1,4.24961,312.532,103.092,0.147231
50236.3,34675.1,16.8548,206.722,81.1203,0.149224
85868.3,54149.5,17.959,324.376,171.396,0.150895
52378,53070.3,-0.399503,218.832,106.374,0.151207
116265,67888.2,9.16551,435.423,146.997,0.152217
133063,55079.1,2.13368,421.374,138.45,0.15394
46234.1,50530.6,4.9985,198.731,97.2449,0.155436
108083,58663,-4.77172,491.296,295.858,0.156882
58906.8,50652.7,2.2441,273.196,90.1421,0.159441
70711.7,68216.8,34.7262,358.246,155.987,0.161552
67386.9,45896.4,-2.99614,208.361,140.539,0.16388
101028,59234.8,15.9009,380.493,150.516,0.163981
119385,72847.5,23.4629,551.245,205.971,0.16688
57544.4,61067,10.6975,336.967,120.731,0.1694
60382.5,46978.3,-9.79511,195.731,93.9576,0.170307
95780.1,56178.6,-2.86228,328.506,190.197,0.171875
107339,85163.8,18.9297,414.545,148.496,0.173505
95693.9,40554.1,8.92396,318.982,121.778,0.174167
64673.1,49653.9,62.8567,353.926,132.31,0.176762
44796.7,55287.4,13.3356,169.395,89.0233,0.179602
68223.1,28306.7,4.29306,207.221,91.787,0.180271
53755.9,45099.7,7.2297,277.712,164.509,0.181359
120194,46223.8,8.61138,410.471,133.878,0.182666
54508.4,64518.9,454.794,251.066,133.617,0.18419
48578.8,66761.3,18.2221,339.902,123.284,0.184945
60274.4,43739.3,-8.0848,285.114,82.3064,0.185226
79670.1,76025.5,20.7891,314.285,168.733,0.186641
69038.3,40086.8,-2.07688,249.933,88.5626,0.190069
117069,56774.6,6.2853,510.553,201.32,0.191209
101334,37107.7,8.20681,308.391,81.3839,0.191623
79847.3,63449.7,3.8519,347.302,141.648,0.192698
71585,68437.7,-7.2071,437.28,172.175,0.193977
57946.2,63322.6,11.0044,227.368,128.976,0.195816
82970.9,46225.1,-0.760446,336.059,134.139,0.197226
78911.5,42302.8,22.2316,370.561,165.289,0.197834
118045,82051,15.9682,459.108,173.214,0.197945
92656.3,56496.4,2.04405,372.16,157.289,0.198551
56543.7,67676.5,20.5387,307.759,132.244,0.198836
61303,39402.1,1.68931,197.088,89.0233,0.198883
43593.4,45498.4,-4.72288,219.9,97.2449,0.201961
127909,53640.7,-13.5856,378.411,134.466,0.202181
102755,88807.9,12.4774,242.916,83.3605,0.204144
64788.6,70380.9,132.863,215.486,113.59,0.204306
93814.6,50580.1,-26.4684,377.369,132.44,0.204351
36597.8,42562.4,159.197,148.711,95.2727,0.205697
43134,55040.2,8.68596,268.466,187.866,0.206321
97829.1,44508.6,12.8742,379.522,104.602,0.206599
40497.3,36779.3,21.9974,140.146,99.6764,0.208107
75427.6,51794.8,9.42467,233.265,71.317,0.208477
84987.9,42516.3,35.8104,263.307,76.5715,0.212728
91510.1,45411.7,-1.36548,298.626,113,0.214844
55896.7,42853.1,1.68849,205.581,69.1797,0.215366
80189.6,79365.9,63.7732,441.679,215.002,0.217594
75785.9,43463.6,7.09944,217.694,74.9885,0.218168
46196.7,56429,16.0244,142.666,85.2706,0.219387
67652.5,33502.2,-4.8808,285.325,109.393,0.220411
82884.2,57732.3,2.80123,380.632,186.636,0.221278
47555.6,45423.1,14.6083,225.093,82.7017,0.222019
75194.3,38239.7,0.625822,293.351,166.849,0.224209
122518,57344.3,1.64233,388.746,188.19,0.22445
37430.4,42742.1,10.754,190.444,72.5861,0.226423
97395.2,49594.4,424.436,303.476,113.196,0.22821
67352.5,51278.6,11.7536,336.688,135.054,0.228663
60738.6,26052.7,-10.4974,203.726,80.5272,0.228834
