"FSC-A","SSC-A","Comp-APC-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
61423.2,29024.5,-12.6127,151.156,25.9049,0.0019957
53672.5,50312.1,18.896,213.92,79.4066,0.00342959
46880.9,54166.4,6.6437,188.514,82.1746,0.00350213
62576.4,55525.3,2.29354,282.788,74.3948,0.00652567
93909.7,91836.6,41.1221,362.562,229.552,0.00734368
86588.1,50696.2,7.6268,215.629,78.22,0.0076485
120552,58514.8,0.334787,310.567,101.647,0.00985201
72405.4,62680.7,7.66104,245.327,131.329,0.0164918
43784.4,43960,-4.56591,135.246,70.1816,0.0219408
38071,43412.9,7.93273,196.088,54.6868,0.0227015
59043.4,70523.4,17.9859,326.126,109.59,0.030498
123674,61867.2,12.1299,392.072,157.875,0.0321491
57328,68678.3,12.6169,249.508,96.5218,0.0337847
62405.4,67346.2,-1.24489,299.47,99.7421,0.0339186
86927.7,44751.9,30.2764,241.072,92.0501,0.0341335
114678,48019.8,-1.0924,400.587,187.543,0.0350578
65965.5,66457.1,13.417,213.706,130.545,0.0372531
64870.5,60306.2,-7.51236,279.687,101.976,0.0375538
86928.2,37099.9,15.0396,255.951,125.182,0.0406888
141418,62606.8,13.0614,446.899,149.93,0.0409375
80063.7,43881.4,15.9398,265.781,143.54,0.0439148
89799.9,62741.6,27.4281,258.145,92.1159,0.0445017
60814.5,64894.2,-7.7242,173.983,84.5462,0.0448046
98112.5,38270.2,12.5869,165.163,35.1199,0.0448493
131271,53586.8,17.567,315.968,121.909,0.046625
48162.2,65830.5,22.3726,216.483,98.6908,0.0473571
55149.1,57844.4,12.235,283.916,66.1742,0.0479627
72530.3,50766.4,-9.05799,266.346,81.3839,0.0501044
54464.8,60079.4,-5.89441,275.596,108.671,0.0516836
114322,55688.8,4.37279,274.396,113.524,0.0517851
88226.8,34158,-8.96253,257.225,127.341,0.0532807
51903.5,71095.1,6.26062,248.728,227.108,0.0549797
79618.4,76082.3,1.87914,281.167,138.123,0.0564139
53784.4,73070.6,-3.19529,252.978,114.638,0.057251
59928.9,61081.8,3.09028,162.938,80.7908,0.0596638
130839,68439.1,-4.85191,366.737,159.631,0.0613225
43770.1,36232,13.0425,166.813,91.6554,0.0622423
73828.7,46872.3,1.37702,237.454,109.065,0.0647752
68261.5,45193.1,-1.89327,255.526,123.153,0.0680518
54388.5,68981.5,8.83646,243.625,124.527,0.0686095
93184.2,48275.5,-0.0148131,243.625,92.7079,0.0696144
48256.3,47843.6,0.469766,182.934,67.3764,0.0874267
100319,53701.6,25.7814,292.437,103.289,0.0917177
72407.7,34542.2,-3.46806,207.648,71.9181,0.0927546
118389,47336.5,-1.78227,297.431,69.6473,0.0941042
75158.9,76291.2,9.06153,217.622,119.159,0.0946459
54981.3,46217.6,3.83569,209.074,178.729,0.0972629
90766.2,45668.9,-4.27762,275.525,96.719,0.0996072
124067,74851.1,16.9007,359.638,125.378,0.100888
68625.1,52656.6,7.14817,209.359,59.295,0.10351
129946,57401.3,-3.44011,372.993,189.679,0.10641
122527,72426.1,1.91227,345.697,99.7421,0.106519
50190,27043.8,6.98834,150.653,107.424,0.106887
92474.2,63856.3,33.364,389.578,93.4972,0.109621
93821.9,68635.6,25.7522,204.867,81.6475,0.109697
40637.7,42811.9,10.684,115.108,73.9887,0.111186
51715.9,57204,19.3387,227.581,132.963,0.111525
102713,58199.6,21.4397,302,162.493,0.113676
70425.9,38276.7,3.58511,192.659,62.6344,0.114589
68373.8,42326,18.9949,164.158,63.8366,0.114787
56634.1,62926.3,-9.49595,179.14,89.6814,0.114986
69630.1,58239.2,-10.3406,174.126,57.2247,0.116918
136358,74105.7,-1.29924,338.924,111.885,0.117183
61034.1,45756.1,-1.49385,140.866,81.1862,0.117596
112498,59636.4,5.23993,334.311,114.507,0.119192
95429,73686.3,12.2399,293.351,133.486,0.119449
79577.9,46474.1,-2.01242,254.889,76.1098,0.120064
77285.4,77621.1,-6.77593,399.411,157.744,0.122716
53119.5,48936.6,2.86343,158.702,58.4268,0.122768
75944.1,45311,-6.73126,280.885,94.3521,0.123154
100517,82592.7,22.3121,213.848,115.294,0.125211
68285,62128.2,3.95803,214.632,69.7808,0.12591
90480.9,40049,17.0149,240.363,72.7864,0.126468
119196,45038.8,6.40873,349.255,108.212,0.127551
76919.1,35780.8,9.45423,229.216,80.9885,0.129946
93564.9,58144.5,25.3968,214.632,120.927,0.130659
70494.6,52871.4,11.0952,191.087,149.864,0.132357
101345,36330.7,23.5998,256.447,143.671,0.133624
106147,62681.2,-32.8997,218.69,76.3077,0.134249
121507,59596.7,-10.4025,255.668,80.7249,0.134278
56437.2,48873.8,-1.55903,239.653,93.6945,0.134938
102183,54421.7,13.2081,344.371,138.646,0.135414
69874.6,63850.2,4.90277,156.547,120.534,0.136121
106512,46418,-2.82356,265.781,78.5496,0.136701
77839.7,62023.9,27.0669,281.943,127.864,0.137113
130058,73224.9,16.07,391.795,173.344,0.137987
51205.2,55124.4,11.6244,204.796,85.2706,0.138568
47547.4,44196.6,3.11462,181.646,110.77,0.138714
74940.8,74913.3,-0.962332,298.767,149.669,0.140171
90464.7,42090,0.151642,315.127,135.642,0.140834
124599,52168.4,-28.1439,256.093,107.687,0.141381
69313.1,37665.3,16.1185,237.808,85.995,0.141806
75395.1,53380.1,-16.4702,318.492,131.525,0.142496
49778.2,52399.3,30.1059,226.586,113.131,0.144288
48501.4,39578.8,-18.2321,179.928,64.7049,0.144636
120174,53875,-3.55897,333.193,135.119,0.145918
116250,89081.6,-5.32932,367.78,140.147,0.146732
41865,38179.2,1.30342,63.8204,62.9684,0.146821
69016.5,42027,3.1579,280.744,131.329,0.148338
63581.1,30126.4,-7.83968,104.762,89.6814,0.151753
77673.2,73129.1,57.754,301.368,171.071,0.151912
71100.7,38530,-9.05597,216.056,48.3423,0.152953
80588.4,36198.1,-3.90215,219.473,71.5842,0.153477
136954,62809.3,-1.55383,365.206,104.536,0.154432
94525.8,54781.7,5.04674,356.226,129.368,0.156099
53401.6,67127.2,26.1274,157.265,108.54,0.15654
55476.1,74062.9,10.2877,280.462,104.471,0.156883
49831.8,56737.4,10.6606,149.502,99.6764,0.157311
97403.4,44746.4,-9.96903,249.72,141.061,0.158362
76337.2,84999.9,2.45959,377.647,196.99,0.160083
97779.2,56311.6,14.5671,318.141,121.713,0.160382
117382,54482.2,1.19572,259.418,95.1412,0.160488
46330.2,27835,-14.4514,100.996,69.9144,0.164365
131923,67080.9,23.3765,301.016,113.065,0.165694
84417.3,56284.4,-2.75236,244.972,133.028,0.165839
50008.6,52599.5,-1.77425,150.509,84.0192,0.166617
48256.8,34133.7,36.534,136.327,44.8028,0.167764
38019.1,39973.3,20.7678,208.219,138.515,0.169626
73289.2,47606.2,3.31723,215.914,47.4073,0.170243
41566.6,44742.7,-7.81604,250.429,61.6326,0.170839
60424.8,41773.6,-7.24701,174.126,66.5749,0.171588
63398.7,65328.2,173.295,240.15,98.5593,0.172064
131885,56308.5,-8.81218,282.366,85.7975,0.174337
74445.9,71356.7,-5.12896,284.691,158.46,0.17455
47556.2,34351.5,0.649826,93.5309,49.5444,0.174775
50320.2,37170.2,-6.74896,172.693,80.7249,0.174956
112181,66432.7,27.6685,375.633,141.322,0.176954
111980,70042.4,16.3466,348.278,80.3953,0.177127
111471,63138.5,-5.88867,369.31,123.219,0.17815
66723.7,80749.9,7.96052,270.161,136.164,0.179627
57635.8,57677.4,-1.48846,239.937,138.384,0.180069
90442.7,42275,-8.82263,326.896,135.315,0.182216
98457.3,66333.1,-11.3687,459.793,151.298,0.182691
62907.6,87829.2,2.50721,277.359,153.513,0.183254
62234.7,61782.3,9.5188,252.836,95.9302,0.183797
72314.4,30865.1,-8.48263,192.159,120.404,0.184507
40448.5,32617.7,0.93331,175.917,63.5694,0.184553
49937.4,59173.4,14.7304,245.043,164.899,0.185602
51570.1,55059.1,11.0799,245.398,99.2822,0.187196
93906.2,64170.4,-11.1663,315.056,116.998,0.187245
118076,49803.2,5.00773,317.791,128.387,0.187568
91028.6,48987.9,7.19807,302.773,95.2727,0.188599
64298.6,91081.6,11.3934,335.5,174.707,0.190116
102601,54273.6,-8.78258,282.084,120.993,0.190802
47122.3,49371.8,-6.29451,215.914,101.976,0.192532
114451,70641.7,-2.54418,347.65,128.256,0.193282
111521,47980.6,-15.476,308.602,122.499,0.193643
57998.8,69675.5,4.13568,244.122,95.9302,0.195515
86569,34574.7,-10.2837,187.655,71.5842,0.195815
116890,46222.4,13.6231,305.021,134.597,0.19655
63987.1,30296.1,8.36526,213.065,61.2319,0.196891
101641,78676.5,45.6688,432.395,150.646,0.197339
65262.2,57064.1,0.329152,200.444,98.0993,0.199113
130123,64993.4,5.475,397.542,84.4803,0.200862
