"FSC-A","SSC-A","Comp-APC-A","Comp-FITC-A","Comp-PE-Texas Red-A","Time"
53678.2,60113.8,17.6677,199.659,82.3064,0.154694
66288.9,64929.1,67.3032,228.221,96.5876,0.155818
113588,61399.1,31.3891,314.285,161.778,0.15618
52410.7,48546.1,23.9192,148.783,71.317,0.158112
73737.5,27697.7,44.9829,196.231,87.9043,0.158228
137142,66786.6,15.0508,374.244,172.11,0.158431
55963.8,82627,651.419,256.588,122.433,0.160016
70097.2,69839.6,145.657,208.932,45.7378,0.161061
42493.9,59921,16.7717,237.596,123.349,0.16334
78982.4,58607.8,19.6036,398.373,124.527,0.163731
91472.8,60647.9,97.936,317.651,224.47,0.165118
70702,56878.4,154.584,319.893,118.963,0.16618
49596.4,59175.7,3.2375,243.058,113.262,0.168363
97986.8,62609.8,23934.4,611.728,189.615,0.171008
55518.7,56662.8,29.0055,343.673,189.809,0.172104
57375.8,47821.9,74.3064,284.268,95.2727,0.173198
83301.2,40022.3,38.8732,253.828,123.742,0.179008
100358,38984.6,23.5363,319.403,108.737,0.181275
134187,79565.5,15972.6,437.83,185.276,0.190724
98985.4,41360.3,34.8813,274.467,108.212,0.195366
50134.4,63127.8,21797.4,344.371,139.233,0.198315
39535.6,53469.1,41.972,146.553,88.4967,0.201216
73115.6,91751.2,216.633,331.864,171.461,0.203037
70810.8,26085.2,29.3238,242.562,105.587,0.204733
54860.6,56376.8,59.4421,152.81,100.202,0.206019
132763,62830.4,10.993,404.045,161.713,0.206343
67439.9,52302.1,80.4923,209.502,156.052,0.206433
61335.1,35057.7,-7.0375,260.974,132.898,0.209556
105012,66926.3,11862.6,1000.18,165.419,0.210249
54657,61200.2,-48.8052,205.153,115.687,0.210375
38578.7,48781.4,-6.74197,184.437,76.4396,0.211909
81509.5,56998.8,2.38571,356.086,134.989,0.212761
84410.6,41095.1,28.7193,343.044,132.179,0.213384
93816.7,53526.8,24.8489,331.864,163.079,0.214507
75930.7,43070.9,16.286,196.374,61.1651,0.215151
64599.1,34349,308.284,245.043,76.9672,0.216446
101986,61149.9,19.6836,314.495,86.5218,0.217236
60155.4,50132.7,12.5558,236.318,125.116,0.217721
93241.8,68055.6,-3.6087,299.962,142.692,0.217796
69383.9,65264.3,-9.58373,256.942,58.9611,0.218141
129291,60441.9,9035.63,499.537,194.209,0.221789
107203,72522.7,6.49304,368.545,193.303,0.222217
54566.7,47322.7,-5.5925,223.955,115.425,0.222708
77963.1,81019.7,22.0788,385.765,177.042,0.224273
102829,59248.3,-0.731618,318.912,135.903,0.22604
90435.9,78451.8,2.41795,264.862,144.453,0.227949
