"Comp-APC-A","Comp-PE-Texas Red-A","Comp-Pacific Blue-A","FITC-A"
114.390015,170.212204,250.640625,530.510071
48.284939,105.268501,97.192001,235.823700
56.232021,71.628235,119.827583,203.157684
131.127243,181.563568,228.435410,577.507935
68.545631,86.184319,113.479988,335.181763
66.396484,109.801285,123.516495,306.091614
64.855835,98.688515,79.752693,274.951416
75.234261,93.354988,144.700180,302.420166
56.602402,128.072754,143.346146,287.644379
52.238075,139.714127,141.024216,287.439880
81.351387,183.426407,162.339188,434.017181
55.637177,120.580902,117.690872,332.204498
61.517014,111.726738,137.797836,323.670654
76.047409,45.799210,110.692711,274.336578
101.157318,178.749664,192.602646,390.871613
155.672943,149.812790,163.945984,481.341339
135.386566,155.343674,200.719208,443.193604
124.057472,161.031967,183.834442,370.258057
135.709229,141.226837,227.481873,441.133453
103.976585,145.774826,191.195496,473.083801
77.898834,122.156944,70.581749,302.012085
57.562191,9.242959,86.330811,207.094757
76.127129,102.379982,119.050682,315.192841
93.851738,139.529831,138.701401,387.787415
76.867264,108.064407,138.249649,326.177856
102.076790,109.448761,151.594589,439.338593
115.049530,129.260696,163.110504,380.942932
44.272575,70.457024,78.318893,257.713196
80.755707,143.009384,165.488113,306.567383
183.843384,335.620087,485.960236,943.339478
90.897591,129.831955,148.309464,365.480713
51.400547,63.048397,75.385086,247.223953
43.734962,65.672997,94.137215,212.271423
90.756500,118.711830,150.048859,389.664948
142.310699,221.389160,296.681305,765.201599
96.512650,128.416489,128.172958,243.311737
74.793488,92.543152,130.952179,380.540039
37.936195,63.795609,74.276390,177.888947
63.124855,74.156723,79.622353,227.432037
73.236710,103.353600,200.527618,373.351227
136.294632,218.690842,227.863281,499.861572
85.843994,71.327240,139.540298,287.303528
80.157661,156.120377,137.926926,395.561890
195.738251,385.946777,392.350372,1062.321655
121.082489,134.177078,193.242126,556.762085
89.218117,135.802002,195.160263,420.359314
103.797729,119.722008,107.125725,267.022278
93.202553,122.328140,109.655251,323.196228
110.956696,94.921722,153.719299,350.383850
125.971756,122.184372,141.411270,311.255157
126.398651,92.262062,241.007629,519.175354
169.480286,281.233734,240.817352,681.624878
133.344894,100.265320,248.994003,379.599976
222.719879,319.016174,455.527008,1222.082397
162.824402,205.447784,197.013824,516.157715
61.913967,60.119541,88.868988,236.923416
20.935760,70.716049,136.958694,348.764069
136.407013,86.711075,172.294403,425.293060
28.122538,71.932503,81.186150,165.182495
147.811783,338.329834,557.934326,974.459961
138.942337,154.804688,213.159927,528.153259
104.542847,144.956863,185.115280,406.335693
87.969208,116.058395,173.000275,319.060181
63.845634,134.142746,139.927444,323.399567
100.754547,149.289444,234.915390,538.163086
142.772919,132.227158,220.484406,371.603119
82.178062,104.234741,121.704674,276.658936
109.376686,110.813843,199.441757,441.997467
176.920914,185.445084,264.302094,574.910767
53.055153,23.701862,121.186913,189.462616
106.939186,123.755913,173.449417,469.975983
97.874786,95.728874,139.862930,350.923645
95.100960,128.769791,175.117371,376.308411
70.065651,62.526588,152.302917,304.596100
92.781075,132.722076,146.505096,366.490326
241.290268,452.719604,389.817902,871.440491
96.496353,77.999550,140.959702,307.858582
82.152611,93.143990,103.816284,242.350449
110.363647,107.368149,140.250046,458.124603
116.120773,83.707901,140.508118,357.869598
133.030197,106.519302,199.058472,485.102875
57.413521,58.580612,119.827583,249.899353
93.011612,146.188934,168.892227,388.256866
36.572281,103.577171,267.396729,1150.250488
133.401016,174.655167,235.804245,505.780792
143.702103,134.503281,204.549911,424.426636
77.281403,2.867748,46.940712,311.526794
67.568924,148.747086,118.403191,294.253601
71.811317,113.566673,196.822098,391.005676
78.767296,56.987198,137.346008,292.005890
47.140095,30.428715,73.558899,182.188202
78.025169,95.418068,159.703064,322.450592
87.237320,95.311867,125.392448,327.939056
42.885368,87.662056,95.762291,285.394318
47.842392,64.782646,120.863297,369.114502
160.711334,256.630493,276.355408,681.815979
160.853485,181.250946,182.361130,475.529266
104.913345,160.162811,276.103241,538.097717
69.226662,84.957794,130.499847,187.523590
91.169685,150.479248,253.616013,514.385742
129.827438,168.904861,251.210495,543.259399
85.661072,110.135818,159.510147,350.248871
83.184044,149.956116,111.924454,328.548584
56.327782,73.458466,142.443283,294.185486
141.032715,192.448227,281.963226,634.471863
148.702179,185.213852,189.787979,468.851440
164.843781,249.330276,329.751892,602.703247
382.865997,487.705200,658.940674,1444.888916
117.022980,140.059921,206.719559,341.875366
115.794739,95.474586,213.223648,472.356598
202.784271,266.175262,368.710388,776.133972
87.822968,173.108200,166.580200,455.870758
146.596176,170.327698,193.881577,439.405060
62.717865,59.204453,96.087257,237.541901
121.432152,185.389633,145.860535,367.432495
181.048355,311.306702,242.085800,578.416687
18.989588,125.469582,117.302292,283.348053
156.422821,151.393326,227.736160,536.594055
62.300011,69.009377,106.476959,238.366501
188.257996,401.894196,398.275421,821.875671
110.547661,112.232841,154.105545,330.986115
86.196648,85.367477,93.877159,244.478806
99.265129,119.745148,121.251633,321.365875
63.318691,39.426365,130.564453,207.232849
90.111099,107.509048,154.556107,296.228149
63.477470,115.569427,142.636765,313.631653
70.470970,83.991768,133.859299,344.239990
96.356026,96.233711,158.609711,405.867645
123.367180,245.418045,192.282852,504.071381
108.541252,90.002022,131.985977,294.934540
175.302444,218.074631,244.621887,525.140320
65.801552,91.340073,130.887573,308.470093
45.400543,18.555946,91.536186,231.491684
94.615891,104.433769,153.783676,477.643402
87.520958,87.367134,126.621201,267.706207
111.023697,167.221542,177.233719,362.181488
120.646645,132.790543,195.927322,383.359528
101.394363,149.057159,121.639954,404.195862
88.232727,74.237717,143.733047,360.834351
112.765434,120.860924,182.937668,378.189545
84.545959,116.467232,168.378525,354.903351
175.796265,225.072388,268.406830,590.152100
90.686760,69.509148,102.907494,254.698471
61.624123,119.421791,168.828018,344.915436
94.354179,116.454605,171.395920,519.700012
65.846611,114.263794,171.524277,310.779755
140.400696,211.825577,218.956589,436.345886
90.935524,191.217911,177.746674,340.658875
47.100883,57.039391,126.556534,306.703308
82.795204,103.706993,142.443283,438.939667
41.414734,108.544098,107.385208,248.458908
225.212723,308.913971,378.376617,861.312866
121.795807,149.902115,214.625549,406.803680
57.978493,135.142624,127.203148,230.115829
130.924881,92.763199,123.322395,315.464325
35.870148,95.860687,77.797424,239.053558
73.811676,119.384109,98.946190,202.466705
51.929314,98.847771,81.251297,245.851532
103.867615,241.074768,235.740768,529.135376
99.527596,84.933678,114.451981,266.748657
53.906075,69.633224,132.438217,293.845001
63.241825,42.682983,92.121521,259.151520
131.775482,133.021027,197.844543,443.725128
133.336441,147.767365,178.259552,386.714325
201.806641,193.341644,313.616516,630.743835
57.383606,123.215584,126.815193,425.093140
131.589981,274.992767,248.107193,694.477844
68.203850,79.448792,105.373886,314.038940
46.774788,100.696625,119.957062,174.836136
58.798939,94.386383,119.957062,224.058487
141.199280,91.627007,179.028809,392.547150
129.362869,188.690781,164.717087,497.821289
207.995956,287.554413,353.371002,677.036255
73.147179,39.933075,214.944122,525.402344
64.815887,49.995716,133.859299,268.458435
37.191090,116.225090,122.351814,273.311737
135.209091,119.534897,208.569489,477.643402
125.622200,152.789429,184.410858,440.468781
114.857330,123.467293,225.065521,593.713318
76.304092,93.027962,146.569550,384.970062
118.753227,156.135193,150.821777,390.670532
63.282227,141.388214,150.564148,329.564331
143.800232,122.474579,165.423859,417.557190
102.699997,136.636246,208.697052,407.806366
123.789581,166.025101,222.011841,472.356598
35.947315,77.731323,86.591187,195.068695
46.174797,97.215759,113.868797,331.933777
94.848923,66.885452,117.107994,380.942932
66.376030,53.572571,82.879799,216.064972
21.904202,63.753448,117.626106,332.272186
140.175003,240.655518,265.817993,542.867493
78.784447,62.414558,129.013321,325.839111
82.693802,92.930565,210.928909,581.077148
81.989883,84.685593,111.859634,289.144012
114.076561,153.157990,226.528152,433.285126
37.552723,60.737778,109.979485,258.672089
174.350708,211.262070,296.932587,651.537292
321.107941,513.383667,544.807007,1188.413208
93.422874,179.922775,207.485107,488.598267
49.791519,33.283524,111.211365,241.320358
83.349510,66.612404,164.717087,353.149902
108.010750,152.563873,158.931305,394.624146
59.266315,63.101711,97.192001,267.706207
37.520451,27.585310,89.129257,168.239883
